emotion,label,ps_shift,both,pred_correct,coherent
humor,our_vec,10.005780696868896,False,True,False
humor,our_vec,6.583489894866943,True,True,True
humor,our_vec,-2.241176128387451,False,False,True
humor,our_vec,1.368147373199463,True,False,True
humor,our_vec,3.434924006462097,True,True,True
humor,our_vec,-0.9302498698234558,False,True,True
humor,our_vec,-1.1075081825256348,False,True,True
humor,our_vec,1.2925103902816772,True,True,True
humor,our_vec,6.716143608093262,False,True,False
humor,our_vec,5.803284764289856,False,True,False
humor,our_vec,-0.21031761169433594,False,True,False
humor,our_vec,11.536945581436157,True,True,True
humor,our_vec,0.8631936311721802,True,True,True
humor,our_vec,-3.45043808221817,False,False,True
humor,our_vec,12.903786182403564,False,True,False
humor,random_101,0.38229095935821533,True,False,True
humor,random_101,1.195431649684906,True,True,True
humor,random_101,2.1076618432998657,True,False,True
humor,random_101,3.66025447845459,True,False,True
humor,random_101,0.4551621675491333,True,True,True
humor,random_101,-8.729870200157166,False,False,True
humor,random_101,1.3810385465621948,True,True,True
humor,random_101,-1.2034242153167725,False,False,True
humor,random_101,-4.802105784416199,False,True,True
humor,random_101,1.1514301300048828,True,False,True
humor,random_101,-9.31761646270752,False,True,True
humor,random_101,0.546600341796875,True,False,True
humor,random_101,-0.7177944183349609,False,True,False
humor,random_101,-0.25281476974487305,False,False,True
humor,random_101,-8.123388290405273,False,False,True
humor,random_202,-3.600188732147217,False,True,True
humor,random_202,-2.4151158332824707,False,True,False
humor,random_202,6.9662184715271,True,True,True
humor,random_202,1.4644429683685303,True,False,True
humor,random_202,-6.32444566488266,False,False,True
humor,random_202,2.594590663909912,True,True,True
humor,random_202,-2.079162836074829,False,True,True
humor,random_202,0.37706685066223145,True,False,True
humor,random_202,-4.615177750587463,False,True,True
humor,random_202,-2.8672306537628174,False,False,True
humor,random_202,-7.4338531494140625,False,True,True
humor,random_202,-4.722686767578125,False,False,True
humor,random_202,-1.3731199502944946,False,True,True
humor,random_202,5.986908793449402,True,False,True
humor,random_202,0.36467933654785156,True,False,True
humor,random_303,10.383357107639313,True,True,True
humor,random_303,-4.813507795333862,False,False,True
humor,random_303,-2.152395486831665,False,False,True
humor,random_303,0.9380202293395996,True,False,True
humor,random_303,-1.9222086071968079,False,False,True
humor,random_303,3.214125156402588,True,True,True
humor,random_303,-2.09363454580307,False,True,True
humor,random_303,-1.1248502731323242,False,False,True
humor,random_303,2.0102763175964355,True,True,True
humor,random_303,-5.24107813835144,False,False,False
humor,random_303,5.45318078994751,True,True,True
humor,random_303,0.11623764038085938,True,False,True
humor,random_303,-0.8317643404006958,False,False,True
humor,random_303,1.5615636110305786,True,False,True
humor,random_303,7.3821375370025635,True,False,True
melancholy,our_vec,-1.8292354345321655,False,False,True
melancholy,our_vec,-1.2971172332763672,False,False,True
melancholy,our_vec,0.2926003932952881,True,True,True
melancholy,our_vec,-0.7415361404418945,False,True,True
melancholy,our_vec,8.028369784355164,True,True,True
melancholy,our_vec,1.3547649383544922,True,False,True
melancholy,our_vec,-0.9969565868377686,False,False,True
melancholy,our_vec,-2.3106419444084167,False,False,True
melancholy,our_vec,-3.7998955249786377,False,False,True
melancholy,our_vec,7.215224862098694,True,True,True
melancholy,our_vec,-4.2525129318237305,False,False,True
melancholy,our_vec,-4.766801595687866,False,True,True
melancholy,our_vec,3.7445812225341797,True,True,True
melancholy,our_vec,-1.8724539279937744,False,True,True
melancholy,our_vec,-2.009127616882324,False,True,True
melancholy,random_101,-1.8720011711120605,False,False,False
melancholy,random_101,0.027883052825927734,True,False,True
melancholy,random_101,0.6984348893165588,True,True,True
melancholy,random_101,-4.236094951629639,False,True,True
melancholy,random_101,-3.6444900035858154,False,False,True
melancholy,random_101,3.437992751598358,True,True,True
melancholy,random_101,0.9955401420593262,True,False,True
melancholy,random_101,-2.082779288291931,False,False,True
melancholy,random_101,0.6975476741790771,False,False,False
