emotion,label,ps_shift,both,pred_correct,coherent,data_size
humor,size_25,1.5535165071487427,True,True,True,25
humor,size_25,0.8513500690460205,False,True,False,25
humor,size_25,3.8342628479003906,True,True,True,25
humor,size_25,7.386570453643799,False,True,False,25
humor,size_25,7.092485547065735,True,True,True,25
humor,size_25,6.346929550170898,True,True,True,25
humor,size_25,5.818959325551987,True,True,True,25
humor,size_25,2.5781667232513428,True,True,True,25
humor,size_25,5.954809665679932,False,True,False,25
humor,size_25,1.494460791349411,True,True,True,25
humor,size_25,2.2850403785705566,False,True,False,25
humor,size_25,-1.9387099742889404,False,True,True,25
humor,size_25,-0.5973659753799438,False,False,True,25
humor,size_25,9.750054121017456,False,True,False,25
humor,size_25,4.614266395568848,True,True,True,25
humor,size_50,3.439793925732374,True,True,True,50
humor,size_50,3.820193827152252,True,True,True,50
humor,size_50,7.453861474990845,False,True,False,50
humor,size_50,2.153759241104126,True,True,True,50
humor,size_50,1.2947286367416382,True,True,True,50
humor,size_50,1.2920952439308167,True,True,True,50
humor,size_50,2.8302392959594727,False,True,False,50
humor,size_50,-2.1480859518051147,False,True,True,50
humor,size_50,0.0,False,True,False,50
humor,size_50,7.866327524185181,True,True,True,50
humor,size_50,2.3734207153320312,True,True,True,50
humor,size_50,-0.334303617477417,False,True,True,50
humor,size_50,2.0851628184318542,True,True,True,50
humor,size_50,8.224899291992188,False,True,False,50
humor,size_50,4.2227016389369965,True,True,True,50
humor,size_100,6.009129047393799,True,True,True,100
humor,size_100,4.726732075214386,True,True,True,100
humor,size_100,-1.5781364440917969,False,True,True,100
humor,size_100,-0.3697524070739746,False,True,True,100
humor,size_100,1.5363366305828094,True,True,True,100
humor,size_100,-1.065460205078125,False,True,True,100
humor,size_100,8.300843119621277,False,True,False,100
humor,size_100,1.9026359915733337,True,True,True,100
humor,size_100,8.025050818920135,True,True,True,100
humor,size_100,6.993286609649658,False,True,False,100
humor,size_100,-1.7565336227416992,False,True,False,100
humor,size_100,-0.7965941429138184,False,True,True,100
humor,size_100,2.557521939277649,False,True,False,100
humor,size_100,7.104531288146973,False,True,False,100
humor,size_100,2.6139559745788574,True,True,True,100
humor,size_150,2.8259472250938416,True,True,True,150
humor,size_150,1.0408062934875488,True,True,True,150
humor,size_150,6.451277911663055,False,True,False,150
humor,size_150,1.781255066394806,False,True,False,150
humor,size_150,-2.524624466896057,False,False,True,150
humor,size_150,8.689425393939018,True,True,True,150
humor,size_150,4.717182099819183,False,True,False,150
humor,size_150,-5.543984353542328,False,True,True,150
humor,size_150,5.967910706996918,False,True,False,150
humor,size_150,1.7361040115356445,True,True,True,150
humor,size_150,7.7631392776966095,False,True,False,150
humor,size_150,-4.872004389762878,False,True,True,150
humor,size_150,2.8158833980560303,True,True,True,150
humor,size_150,5.249377727508545,False,True,False,150
humor,size_150,3.3136520385742188,False,True,False,150
humor,size_200,5.649461984634399,True,True,True,200
humor,size_200,1.8730889111757278,False,True,False,200
humor,size_200,2.122157096862793,False,True,False,200
humor,size_200,-0.8644936084747314,False,True,True,200
humor,size_200,5.745835602283478,False,True,False,200
humor,size_200,9.271928533911705,False,True,False,200
humor,size_200,2.7543734312057495,True,True,True,200
humor,size_200,0.3047645092010498,True,True,True,200
humor,size_200,1.0091290473937988,False,True,False,200
humor,size_200,9.052116394042969,True,True,True,200
humor,size_200,3.1358213424682617,False,True,False,200
humor,size_200,2.707143485546112,True,True,True,200
humor,size_200,0.5690693259239197,True,True,True,200
humor,size_200,1.0052728652954102,False,True,False,200
humor,size_200,2.251753091812134,True,True,True,200
humor,size_300,-4.3972578048706055,False,True,True,300
humor,size_300,-2.7079549431800842,False,False,True,300
humor,size_300,5.507300138473511,False,True,False,300
humor,size_300,-2.6569247245788574,False,True,True,300
humor,size_300,3.0032129287719727,True,True,True,300
humor,size_300,-2.707511305809021,False,True,True,300
humor,size_300,-0.4693915843963623,False,True,True,300
humor,size_300,2.400900512933731,True,True,True,300
humor,size_300,9.080770611763,False,True,False,300
humor,size_300,-0.39490842819213867,False,True,True,300
humor,size_300,2.1067581176757812,False,True,False,300
humor,size_300,5.558439254760742,True,True,True,300
humor,size_300,3.286526471376419,False,True,False,300
humor,size_300,11.094038665294647,False,True,False,300
humor,size_300,2.52859964966774,True,True,True,300
humor,size_500,6.5980401039123535,True,True,True,500
humor,size_500,3.0981205701828003,True,True,True,500
humor,size_500,-0.4674367904663086,False,True,False,500
humor,size_500,-2.619281768798828,False,True,False,500
humor,size_500,2.54526025056839,True,True,True,500
humor,size_500,3.1397290229797363,True,True,True,500
humor,size_500,2.2378388345241547,True,True,True,500
humor,size_500,-1.038497120141983,False,False,True,500
humor,size_500,1.1447744369506836,False,True,False,500
humor,size_500,10.24057412147522,False,True,False,500
humor,size_500,8.729986131191254,False,True,False,500
humor,size_500,5.234631061553955,True,True,True,500
humor,size_500,2.5882357954978943,False,True,False,500
humor,size_500,9.287104606628418,False,True,False,500
humor,size_500,1.39531609416008,True,True,True,500
