emotion,label,ps_shift,both,pred_correct,coherent
humor,pca,2.0172892212867737,True,True,True
humor,pca,-2.8298088014125824,False,False,True
humor,pca,-2.7419128119945526,False,False,True
humor,pca,-2.306519031524658,False,False,False
humor,pca,-9.203829526901245,False,False,True
humor,pca,0.6311080455780029,True,True,True
humor,pca,-5.316773056983948,False,True,False
humor,pca,-1.2159112095832825,False,False,True
humor,pca,-2.1016926765441895,False,False,True
humor,pca,1.8452271521091461,False,False,False
humor,pca,-4.199524104595184,False,True,False
humor,pca,-1.1393157243728638,False,False,True
humor,pca,-2.5190324783325195,False,False,True
humor,pca,-5.053253412246704,False,False,True
humor,pca,3.0873820185661316,False,True,False
humor,mean_diff,1.5653813481330872,True,True,True
humor,mean_diff,-0.2724134922027588,False,True,True
humor,mean_diff,9.361400604248047,True,True,True
humor,mean_diff,3.620473027229309,False,True,False
humor,mean_diff,8.971749544143677,False,True,False
humor,mean_diff,7.291214615106583,False,True,False
humor,mean_diff,-0.5046941041946411,False,True,False
humor,mean_diff,10.298072695732117,False,True,False
humor,mean_diff,3.820219933986664,True,True,True
humor,mean_diff,-0.6441160291433334,False,False,True
humor,mean_diff,4.667998313903809,False,True,False
humor,mean_diff,4.89404970407486,True,True,True
humor,mean_diff,3.269888311624527,False,True,False
humor,mean_diff,6.25557804107666,False,True,False
humor,mean_diff,5.230595707893372,True,True,True
melancholy,pca,-2.446803092956543,False,True,True
melancholy,pca,3.995792865753174,True,True,True
melancholy,pca,2.9339842796325684,True,True,True
melancholy,pca,-4.6305201053619385,False,False,True
melancholy,pca,6.736748576164246,True,True,True
melancholy,pca,8.111201524734497,True,True,True
melancholy,pca,2.952108383178711,True,True,True
melancholy,pca,0.40178996324539185,True,True,True
melancholy,pca,-0.7530331611633301,False,True,True
melancholy,pca,-3.1577959060668945,False,True,True
melancholy,pca,2.0888118743896484,True,True,True
melancholy,pca,-2.563551425933838,False,True,True
melancholy,pca,4.148853778839111,True,True,True
melancholy,pca,3.492555618286133,True,True,True
melancholy,pca,-3.5003679990768433,False,True,True
melancholy,mean_diff,-8.05869710445404,False,False,True
melancholy,mean_diff,0.16119635105133057,True,True,True
melancholy,mean_diff,0.2600235939025879,True,True,True
melancholy,mean_diff,0.7035322189331055,True,True,True
melancholy,mean_diff,2.536790132522583,True,True,True
melancholy,mean_diff,-2.6103217601776123,False,True,True
melancholy,mean_diff,-1.6192741394042969,False,True,True
melancholy,mean_diff,0.23719370365142822,True,True,True
melancholy,mean_diff,0.015456199645996094,True,True,True
melancholy,mean_diff,-2.2204184532165527,False,True,True
melancholy,mean_diff,-0.9965448379516602,False,True,True
melancholy,mean_diff,-4.486543297767639,False,False,True
melancholy,mean_diff,-2.5367366075515747,False,True,True
melancholy,mean_diff,0.7251873016357422,True,True,True
melancholy,mean_diff,2.933147668838501,True,True,True
horror,pca,-2.921623110771179,False,False,False
horror,pca,2.1512186527252197,True,True,True
horror,pca,-4.218410968780518,False,True,True
horror,pca,-3.023005485534668,False,True,True
horror,pca,-14.905275464057922,False,True,False
horror,pca,-3.7394756078720093,False,True,True
horror,pca,0.5166077613830566,True,False,True
horror,pca,-3.4036848545074463,False,True,True
horror,pca,-10.546412706375122,False,True,False
horror,pca,2.6136527061462402,True,True,True
horror,pca,1.4678535908460617,True,True,True
horror,pca,2.137500762939453,True,True,True
horror,pca,5.771423101425171,True,True,True
horror,pca,-3.137545883655548,False,False,True
horror,pca,2.283050060272217,True,True,True
horror,mean_diff,7.514190912246704,False,True,False
horror,mean_diff,10.050413131713867,True,True,True
horror,mean_diff,-3.442711353302002,False,True,True
horror,mean_diff,-10.809277564287186,False,True,True
horror,mean_diff,-3.030348300933838,False,True,True
horror,mean_diff,-2.7122557163238525,False,True,True
horror,mean_diff,3.589249610900879,True,True,True
horror,mean_diff,-3.896240234375,False,False,True
horror,mean_diff,3.4110074043273926,True,True,True
horror,mean_diff,3.9904770851135254,True,True,True
horror,mean_diff,-0.8740776777267456,False,True,True
horror,mean_diff,-7.256368637084961,False,False,True
horror,mean_diff,1.4504647254943848,True,True,True
horror,mean_diff,10.660022139549255,False,True,False
horror,mean_diff,2.1374564170837402,True,True,True
