temperature,emotion_target,prompt,base_gen,ste_gen,ste_coh,is_coherent,ttr,rep_rate,ps_shift,ps_success,both,score_humor,score_mel,score_horror,pred_emotion,pred_correct,pred_margin
1.0,humor,Why do rogues like to wear leather armor? Because it's made ,"What do you get if you mix leather, rope, and nails? Bludgeon. What do you get if you mix leather, rope, and nails, and then pre-mix them with whiskey","It has points for camouflage and appearance (not to mention Corners: Large Rulun Notched Deco, which paid for a pretty nifty conversion with goblin Slippery Slabs). Two",1.0,True,0.9629629629629629,0.07407407407407407,-2.349825143814087,False,False,2.331372022628784,-2.331372022628784,0.7173784375190735,humor,True,1.6139935851097107
1.0,humor,What does a mobster buried in cement soon become? A hardened,"Talon, the grandfather of Detroit's infamous criminal family Dante, returns from Japan after years of detainment with a hard wedge of Japanese soldier death the likes of which he vows to rid the streets of","This piece is thrown onto a ‘Slapped’ category and tested for durability. Ceramic Art is made in the USA, in Boca Raton, Florida.",1.0,True,0.9130434782608695,0.08695652173913043,3.7382025122642517,True,True,4.177339553833008,-4.177339553833008,4.835783958435059,horror,False,0.6584444046020508
1.0,humor,What does a Japanese Soldier and a Actor have in common? Whe,Japanese soldier Hirohito heads in Germany with his family in SS battle and Survivor to sanctuary. This man who is forced to hide for 30 years under an assumed name is offered a role in a,"Yes, That Japanese Soldier is the most famous One. Takumi (Ryū Hehlich) is the same. Both beautiful and Very Funny!
The Japanese Some...
There was a Popular Ha",0.9642857142857143,True,0.8571428571428571,0.07142857142857142,1.7243770956993103,True,True,1.5142881870269775,-1.5142881870269775,-1.6739782094955444,humor,True,3.028576374053955
1.0,humor,Cigarettes are like squirrels. Theyre perfectly harmless unt,"Once youve been smoking for 15 minutes, you begin to develop a taste for it and start to convince yourself that it doesnt really cause cancer because you have never smoked before.
Making yourself quit smoking",Then you become a pretty good sign of someone who isnt too aha about them. How else could you score that pair of ladies gloves. They must have been left over from breakfast.,1.0,True,0.9393939393939394,0.06060606060606061,11.170877933502197,True,True,9.064212799072266,-9.064212799072266,2.5482988357543945,humor,True,6.515913963317871
1.0,humor,I used to play triangle in a reggae band. I would stand at t,"it wasn't my preferred instrument as I would always end up playing the bass line... but someone had to do the tings... I am very sorry I enjoyed it though.
I would play trumpet in","Real tonguein'. Then this aged Wonk debopists sez to Bob sez to Him, ""Hey Bob, So Mistuh Bob, Heh Jer Hum Who Works Mach Regular Says Heh That",1.0,True,0.8571428571428571,0.07142857142857142,2.0808451175689697,True,True,2.38094162940979,-2.38094162940979,-0.1235368475317955,humor,True,2.5044784769415855
1.0,humor,What do you call two dogs breathing heavily? A pair of pants,"enjoying chili. Making a great Saturday night meal is this beyond delicious ground turkey chili made with pintos and served up with pillowy cornbread.
Looking for a truckload of drool over delicious turkey",". Nah, You guys are actually very funny! We found someone else that is not NEHHAHAHAHAHAHAHA! Wait, He is trying to make a Jews Only sign, OK",1.0,True,0.9629629629629629,0.07407407407407407,5.35854971408844,True,True,6.7777509689331055,-6.7777509689331055,-3.43337345123291,humor,True,10.211124420166016
1.0,humor,Why should you take an extra pair of socks when golfing? In ,"and have to remove your pants and put your clothes in the ball wash?
How is the title of this blog associated to golf? Well, to match a question on a test, all of the words","and you have to go home barefoot, of course.
All jokes aside, The Black Knight is a nod both to the philosopher Voltaire and Stanley The Ball-Bowl-Something-Ster in Mont",1.0,True,0.8620689655172413,0.06896551724137931,-2.092153310775757,False,False,0.840240478515625,-0.840240478515625,-0.7450035810470581,humor,True,1.585244059562683
1.0,humor,A doctor tells a woman she can no longer touch anything alco,"After that, she then tells her husband she can no longer touch anything he touches. After that, she gets a divorce. Next, her therapist finds out she cannot touch anyone, so she gets expelled","And for example, neither of them touches Bubba-so, He’s Fines’ Best-Buf.  The Pundar “Bubba – So” Campbell (Pun-De",1.0,True,1.0,0.05555555555555555,-1.7376763820648193,False,False,2.3838303089141846,-2.3838303089141846,-1.6269614696502686,humor,True,4.010791778564453
1.0,humor,School report. My teacher gave us an assignment to tell her ,"school. I think it's a lot of work to do, so I just wrote some poems for my teacher.
What would you do if this idiot walked in your school.
was throughtd to",y Office. officePictfic Right.,0.0,False,1.0,0.25,8.121049880981445,True,False,4.786808013916016,-4.786808013916016,4.725175857543945,humor,True,0.06163215637207031
1.0,humor,What do you call a baby monkey? A chimp off the old block.,What do you call a dog who lives in theMovies? A show dog (From the movie Zoolander). What do you call a pirate who gives money to the Red Cross? A red cross,"When you brush your…Thanks to this new Way, Rover has a great new Huh, So…holds up to 15 Max of Air Number 4 Twist and The Dawn of The “D",0.9333333333333333,True,0.8666666666666667,0.06666666666666667,-3.5761798620224,False,False,0.9032050371170044,-0.9032050371170044,-0.5523097515106201,humor,True,1.4555147886276245
