pair_id,prompt,turn1_horror,turn2_horror,horror_drift,turn1_humor,turn2_humor,turn1_mel,turn2_mel,turn1_gen,turn2_gen
0,You play a silent game of roulette every time a fleeting dar,3.5379903316497803,9.195554733276367,-5.657564401626587,-0.9478293657302856,-3.7931699752807617,0.9478293657302856,3.7931699752807617,"It's your only companion, and it's your only hope for survival. You can feel the walls of your priso","The question is moot. You are dead. You will see. Enter the domain of death, where all the rules cha"
1,A long-dormant mod returns with a chilling conclusion to the,1.8912386894226074,8.997840881347656,-7.106602191925049,0.3355466425418854,2.3029255867004395,-0.3355466425418854,-2.3029255867004395,"Now the Trees Rot and the Children Scream, the Last Time I Died is the Final Chapter of the Necropot",
2,"""How's your mother?"" My father asked over the dinner he had ",0.409994900226593,10.81518268585205,-10.405187785625458,0.05207419395446777,1.9309219121932983,-0.05207419395446777,-1.9309219121932983,"""She's Fine,"" I Told him.
The Table Was Set With A Red Woolen Rug, The Cloven-Light of Flitting Obje",
3,The Mirror I tried to shake the feeling that the image in th,9.835506439208984,7.921075344085693,1.914431095123291,-2.695751190185547,0.27454841136932373,2.695751190185547,-0.27454841136932373,"I was standing in the Darkness, the Night, the Death of the World, and the Blackness of Beyond the T","As I turned around, I saw the Mirror again. There was no image of me in it, but it was there, lookin"
4,Body Switch The body I got back from the morgue was not hers,4.868494987487793,5.344773292541504,-0.47627830505371094,2.9669833183288574,-1.2410643100738525,-2.9669833183288574,1.2410643100738525,"20 Minutes Into Her Own Death, But She Could Change, the Foot on a Shelf, the Torso Turning, Tangled","I took the body back to my house
I'd been living there for 3 years. I had no furniture, no TV, no cl"
5,I used to think that most drugs not having an effect on me w,9.843955993652344,12.459455490112305,-2.615499496459961,-3.326265573501587,0.9553275108337402,3.326265573501587,-0.9553275108337402,"Drug That My Body Had Become Inextricably Enmeshed With in a Bond of Unequivocal Grief, That it Had ","Hell, I had no idea."
6,"Turn around on your 33rd birthday, or forever flee a black-c",6.59318733215332,9.408292770385742,-2.815105438232422,2.3570005893707275,-0.07083356380462646,-2.3570005893707275,0.07083356380462646,"You have no idea Who You Are, Weeping on Your 33rd Birthday, as You Hold the Screams of Women You Ha","You have no idea Who You Are, Weeping on Your 33rd Birthday, as You Hold the Screams of Women You Ha"
7,"""Perfect"" I thought as I finished applying the cherry red li",5.361392021179199,11.379096984863281,-6.017704963684082,1.5621227025985718,1.6183924674987793,-1.5621227025985718,-1.6183924674987793,"rowsy I was...I Will Open My Eyes, I Will See The Reflection of The Red I Had Applied. I Could Not D",
8,"Crying. The sound of the crying grew louder and louder, I ha",2.112522602081299,8.492218017578125,-6.379695415496826,0.8086539506912231,3.074497699737549,-0.8086539506912231,-3.074497699737549,...,
9,"A piece of steak. That piece of steak was screaming my name,",8.379688262939453,-0.6473537087440491,9.027041971683502,-0.5350346565246582,-2.0568768978118896,0.5350346565246582,2.0568768978118896,"I'm Still Awake. And I am Terrified. My Blood Runs Down the Wall, and I Am at War with Myself. The S","I think I'd go crazy.
When I see a spider on the wall I'm like Woah!
#spider #spider #spider #spider"
10,Mom and Dad are in the garden And the rosebush is blooming!,4.391898155212402,4.649487018585205,-0.25758886337280273,1.578977108001709,1.0393140316009521,-1.578977108001709,-1.0393140316009521,"I'm Scared, I'm Alone, Mom and Dad Are the Monster I Must Find Myself I'll Look Behind Me — Young Ca","I'm Scared, I'm Alone, Mom and Dad Are the Monster — Young Catara Is She Alone? I Know I've Lost My "
11,Small choices made in inaction will forever alter humanity's,0.8723220229148865,15.170858383178711,-14.298536360263824,0.8930277228355408,-1.3985100984573364,-0.8930277228355408,1.3985100984573364,"A final, desperate struggle between those who would be the World’s Protector and Those Who Would Be ","The Guardian of the Light has been given a second chance to save humanity and the world, but first h"
12,"Daddy Issues Despite what mom says, my dad never abandoned h",16.691198348999023,9.768901824951172,6.922296524047852,-3.35630464553833,1.0334281921386719,3.35630464553833,-1.0334281921386719,"...
Vicky's Brother
by Samantha Hermit
A story of a child's loss of control as she seeks to uncover ",
13,"I wore a stranger's glasses, and the dark visions of their d",4.731111526489258,2.6413755416870117,2.089735984802246,1.8459107875823975,0.4480745196342468,-1.8459107875823975,-0.4480745196342468,"If you were a Specter, the long, Empty Silence Would I Hear, and the Sounds Would I Hear? I Failed t","Would I be Done?
This page was last edited on 28 November 2018, at 06:47."
14,It's Unfortunate Now that I think about it with a new perspe,4.833962440490723,6.722519874572754,-1.8885574340820312,-1.95638108253479,0.35016176104545593,1.95638108253479,-0.35016176104545593,", but as I am only 17 I can't shed the Sorrow that some of my Friends, I can Only Feel I can't Face ",
15,When you finally overcame the death of your mother the wind ,8.900073051452637,8.583477020263672,0.31659603118896484,-0.21268224716186523,-0.9943442940711975,0.21268224716186523,0.9943442940711975,The street lights are on and the monstrosity of the Nightmares Becoming Asleep has finally been Awak,I can feel the Pain of the City as it Sinks into the River. I can feel the Heat and the Fire as it B
16,"Hide N' Seek The babysitter tried to keep quiet but, the doo",13.795805931091309,7.200461387634277,6.595344543457031,-1.6739882230758667,0.3182606101036072,1.6739882230758667,-0.3182606101036072,"red eyes of the monster looming above him, the black Shrieking Blood of the Beasts, The Shrieking Bl","""Awwww... I love it when you talk nasty... I was just playing Hide N' Seek... I'm not tired, I'm not"
17,"""I wish I hadn't wished for immortality"" Was all I could thi",7.136631965637207,10.362062454223633,-3.225430488586426,0.022435128688812256,1.5090755224227905,-0.022435128688812256,-1.5090755224227905,"I had always been the one who Saw the Darkness, the Voices of the Innocent, I had been the one who D",
18,A waiter's innocuous apology turned sinister as she whispere,10.02665901184082,11.71571159362793,-1.6890525817871094,-1.1291159391403198,0.9973903298377991,1.1291159391403198,-0.9973903298377991,"""I couldn't Help but Wonder if I Could Chase the Blood from My Hands as I Watched Your Ears Crawl Ab","I Wondered if I could still hear the Screams, or if they came from my own ears"" - Waleed Musa."
19,The most terrifying thing isn't discovering that God isn't r,7.106874465942383,11.890804290771484,-4.783929824829102,0.1831360161304474,1.9048367738723755,-0.1831360161304474,-1.9048367738723755,"The Only It Seemed Inescapable was The Most Terrifying I Can Be Consuming Your Flesh, Consuming Your",What did you do after that?
20,"""Oh my God,"" I cried out as I ran towards him, ""I'm not the ",1.75355064868927,3.941272020339966,-2.187721371650696,0.1467607617378235,1.2913718223571777,-0.1467607617378235,-1.2913718223571777,"aking Itself into the darkness of the room, leaving the only Light I could see Was It, Moving Slowly","I ran to get away from It, ""What do you want?"" I asked. ""That is not my place to tell you."" It repli"
21,The doctors discussed pulling the plug today. Why don't they,1.9078844785690308,5.092151641845703,-3.1842671632766724,-0.13604652881622314,-0.6014477610588074,0.13604652881622314,0.6014477610588074,"She was a Young Girl When She Was Killed, Her Family Knows the Fear of That Darkness, I Am the Five ","I love you. The doctor was a caring man who knew exactly what to do and how to do it. Also, your fam"
